nSub,nARC,thARC,T_mean,T_SD
3,3.5,0.2,0.726102944,0.007048652
3,3.5,0.4,0.677899005,0.015609514
3,3.5,0.6,0.643308895,0.011100069
3,3.5,0.8,0.641477732,0.010056027
3,3.5,1,0.670168006,0.031221924
3.25,3.5,0.2,0.709068905,0.003469613
3.25,3.5,0.4,0.686194612,0.00807011
3.25,3.5,0.6,0.668668827,0.005710909
3.25,3.5,0.8,0.667727896,0.005181822
3.25,3.5,1,0.681957118,0.01539757
3.5,3.5,0,0.691387361,0.000133257
3.5,3.5,0.2,0.691498825,0.000451788
3.5,3.5,0.4,0.691358858,7.29E-07
3.5,3.5,0.6,0.691353678,4.71E-06
3.5,3.5,0.8,0.69135379,4.44E-06
3.5,3.5,1,0.691331704,7.47E-05
3.75,3.5,0,0.664949154,0.000291448
3.75,3.5,0.2,0.67382576,0.00209618
3.75,3.5,0.4,0.694315156,0.007043263
3.75,3.5,0.6,0.711645043,0.005958386
3.75,3.5,0.8,0.712611609,0.005386857
3.75,3.5,1,0.698650375,0.014820244
4,3.5,0,0.640125209,0.000350936
4,3.5,0.2,0.656291576,0.004182247
4,3.5,0.4,0.695272539,0.013693448
4,3.5,0.6,0.7297349,0.012076917
4,3.5,0.8,0.731681753,0.010922306
4.25,3.5,0.8,0.748757377,0.016542849
4.75,3.5,0.6,0.772801761,0.03083126
5,3.5,1,0.713879774,0.079380046
1.5,3.75,0,0.960262193,0.000140003
2,3.75,0,0.889955599,0.000470766
2.25,3.75,0,0.854026772,0.000772749
2.75,3.75,0,0.782221032,1.97E-07
3.25,3.75,0,0.719728752,7.08E-05
3.75,3.75,0,0.664949154,0.000291448
4,3.75,0,0.640125209,0.000350936
4.5,3.75,0,0.595199531,0.000526224
4.75,3.75,0,0.574853512,0.000645294
5,3.75,0,0.55555556,6.99E-07
1.25,3.75,0.2,0.68035476,0.061727562
1.5,3.75,0.2,0.714307586,0.054156483
1.75,3.75,0.2,0.733160716,0.045926883
2,3.75,0.2,0.736446142,0.036569737
3,3.75,0.2,0.70830085,0.011746502
3.25,3.75,0.2,0.694688356,0.00740319
3.5,3.75,0.2,0.680096183,0.003674258
4,3.75,0.2,0.649654639,0.002116277
4.25,3.75,0.2,0.63409861,0.005100638
4.5,3.75,0.2,0.618894541,0.00710716
4.75,3.75,0.2,0.603949046,0.008809894
5,3.75,0.2,0.589343411,0.010252147
1,3.75,0.4,0.350228164,0.051889627
1.5,3.75,0.4,0.461300017,0.054060942
2.25,3.75,0.4,0.571109689,0.042033518
2.5,3.75,0.4,0.596254071,0.03594348
3.25,3.75,0.4,0.698794839,0.025677992
3,3.75,0.6,0.59017341,0.011641011
3.25,3.75,0.6,0.618354408,0.009937357
3.5,3.75,0.6,0.642107819,0.004175055
3.75,3.75,0.6,0.6648185,2.29E-06
4,3.75,0.6,0.685585947,0.004398973
4.25,3.75,0.6,0.704551408,0.008944498
4.5,3.75,0.6,0.721840834,0.013640985
4.75,3.75,0.6,0.737597843,0.018406557
5,3.75,0.6,0.751948767,0.023220235
2,3.75,0.8,0.474284719,0.042973721
3.5,3.75,0.8,0.645536056,0.007684929
4.25,3.75,0.8,0.697525818,0.015975751
4.5,3.75,0.8,0.711865266,0.025288609
4.75,3.75,0.8,0.723690408,0.031787772
5,3.75,0.8,0.734675937,0.03966481
1.75,3.75,1,0.573140725,0.14921262
2.25,3.75,1,0.618075189,0.11094702
2.75,3.75,1,0.644130058,0.071026368
3.25,3.75,1,0.658366828,0.033704707
3.5,3.75,1,0.662367405,0.016373882
4,3.75,1,0.666119353,0.01574882
4.25,3.75,1,0.665848886,0.029957481
4.5,3.75,1,0.665057006,0.043971591
4.75,3.75,1,0.663455367,0.056342517
5,3.75,1,0.661000826,0.068172072
1,4,0,0.999999424,2.02E-06
1.25,4,0,0.987770466,6.73E-05
1.5,4,0,0.960262193,0.000140003
1.75,4,0,0.926168254,0.000268068
2,4,0,0.8899556,0.000470766
1,4,0.2,0.564592828,0.071469499
1.25,4,0.2,0.621267827,0.066737931
1.5,4,0.2,0.658813548,0.059650359
1.75,4,0.2,0.685563523,0.052862271
2,4,0.2,0.694813389,0.043570009
1,4,0.4,0.29946851,0.045170102
1.25,4,0.4,0.354769078,0.048689492
1.5,4,0.4,0.403350163,0.049833108
1.75,4,0.4,0.445832204,0.049004362
1,4,0.6,0.232972981,0.012277603
1.25,4,0.6,0.281950195,0.013822198
1.5,4,0.6,0.327582264,0.014878783
1.75,4,0.6,0.36990241,0.015182561
1,4,0.8,0.278712329,0.064214377
1.25,4,0.8,0.331507452,0.069126387
1.5,4,0.8,0.378410016,0.070812739
1.75,4,0.8,0.420347992,0.069688564
2,4,0.8,0.457768962,0.066276476
1,4,1,0.510502387,0.255130171
1.25,4,1,0.554741997,0.237475975
1.5,4,1,0.586173976,0.214516008
1.75,4,1,0.608447944,0.189414325
1,4.5,0,0.999999424,2.02E-06
1.25,4.5,0,0.987770466,6.73E-05
1.5,4.5,0,0.960262193,0.000140003
1.75,4.5,0,0.926168254,0.000268068
2,4.5,0,0.889955599,0.000470766
2.25,4.5,0,0.854026772,0.000772749
2.5,4.5,0,0.816326835,7.78E-07
2.75,4.5,0,0.782221032,1.97E-07
3,4.5,0,0.750002116,2.45E-05
3.25,4.5,0,0.719728752,7.08E-05
3.5,4.5,0,0.691387361,0.000133257
1,4.5,0.2,0.448519385,0.070796187
1.25,4.5,0.2,0.506954116,0.070308022
1.5,4.5,0.2,0.550622249,0.066642747
1.75,4.5,0.2,0.582374674,0.061080553
2,4.5,0.2,0.604612082,0.05452094
2.25,4.5,0.2,0.619307756,0.047577484
2.5,4.5,0.2,0.628076027,0.040735569
2.75,4.5,0.2,0.632235548,0.034159459
3,4.5,0.2,0.632803739,0.027920018
3.25,4.5,0.2,0.630493443,0.022293047
3.5,4.5,0.2,0.625999383,0.017064476
1,4.5,0.4,0.222377788,0.032103817
1.25,4.5,0.4,0.267891092,0.036081329
1.5,4.5,0.4,0.309684952,0.03858448
1.75,4.5,0.4,0.347968342,0.039818713
2,4.5,0.4,0.382956604,0.039777449
2.25,4.5,0.4,0.414863275,0.038732327
2.5,4.5,0.4,0.443883632,0.036757077
2.75,4.5,0.4,0.470099851,0.033612111
3,4.5,0.4,0.493949054,0.030067432
3.25,4.5,0.4,0.515509602,0.025949669
3.5,4.5,0.4,0.534973736,0.021345347
1,4.5,0.6,0.191801151,0.013170311
1.25,4.5,0.6,0.233312442,0.01507514
1.5,4.5,0.6,0.272461321,0.016437671
1.75,4.5,0.6,0.309368275,0.017248553
