nSub,nARC,thARC,T_mean,T_SD
1.00 ,2.00 ,0.00 ,0.9999994239372960 ,0.0000020229599120 
1.00 ,1.00 ,0.00 ,0.9999994239373060 ,0.0000020229598791 
1.00 ,1.00 ,0.20 ,0.9999992966014600 ,0.0000028322949558 
1.00 ,1.00 ,0.40 ,0.9999993209122040 ,0.0000032703436760 
1.00 ,1.00 ,0.60 ,0.9999996513715320 ,0.0000023345531416 
1.00 ,1.00 ,0.80 ,1.0000000000000000 ,0.0000000000000000 
1.00 ,1.00 ,1.00 ,1.0000000000000000 ,0.0000000000000000 
1.00 ,1.25 ,0.00 ,0.9999994239372940 ,0.0000020229599187 
1.00 ,1.25 ,0.20 ,0.9988977321415040 ,0.0004344108559839 
1.00 ,1.25 ,0.40 ,0.9955442900537930 ,0.0015386004321611 
1.00 ,1.25 ,0.60 ,0.9904683653396190 ,0.0031211680938877 
1.00 ,1.25 ,0.80 ,0.9844071186878380 ,0.0048743771292328 
1.00 ,1.25 ,1.00 ,0.9782546702639100 ,0.0064503716854996 
1.00 ,1.50 ,0.00 ,0.9999994239372960 ,0.0000020229599100 
1.00 ,1.50 ,0.20 ,0.9941749685667820 ,0.0018866649993352 
1.00 ,1.50 ,0.40 ,0.9778162020573150 ,0.0066805154120488 
1.00 ,1.50 ,0.60 ,0.9545208697780050 ,0.0126205948341805 
1.00 ,1.50 ,0.80 ,0.9288514584641440 ,0.0176965070759657 
1.00 ,1.50 ,1.00 ,0.9015774888626090 ,0.0193792450436432 
1.00 ,1.75 ,0.00 ,0.9999994239372980 ,0.0000020229599080 
1.00 ,1.75 ,0.20 ,0.9841807796901050 ,0.0048825937812554 
1.00 ,1.75 ,0.40 ,0.9425633801894300 ,0.0160870417094575 
1.00 ,1.75 ,0.60 ,0.8890787520320790 ,0.0270320650968160 
1.00 ,1.75 ,0.80 ,0.8348914921191980 ,0.0319671059529379 
1.00 ,1.75 ,1.00 ,0.7921078037086370 ,0.0303419928253533 
1.00 ,2.00 ,0.20 ,0.9671823414311660 ,0.0097947636123587 
1.00 ,2.00 ,0.40 ,0.8880970745413360 ,0.0287937420524807 
1.00 ,2.00 ,0.60 ,0.7996105909888060 ,0.0416013297000834 
1.00 ,2.00 ,0.80 ,0.7238391692582640 ,0.0415204685486037 
1.00 ,2.00 ,1.00 ,0.6750660117440590 ,0.0313347334967551 
1.00 ,2.25 ,0.00 ,0.9999994239373080 ,0.0000020229598722 
1.00 ,2.25 ,0.20 ,0.9417634689682630 ,0.0167556085372799 
1.00 ,2.25 ,0.40 ,0.8165967315794950 ,0.0423790731351786 
1.00 ,2.25 ,0.60 ,0.6960244347866330 ,0.0507862568244730 
1.00 ,2.25 ,0.80 ,0.6130647395686930 ,0.0424627483376758 
1.00 ,2.25 ,1.00 ,0.5715560990806620 ,0.0232296484173931 
1.00 ,2.50 ,0.00 ,0.9999994239372940 ,0.0000020229599195 
1.00 ,2.50 ,0.20 ,0.9071257563553940 ,0.0255405954071845 
1.00 ,2.50 ,0.40 ,0.7336013954945330 ,0.0539620873827070 
1.00 ,2.50 ,0.60 ,0.5942306123331880 ,0.0538858034450578 
1.00 ,2.50 ,0.80 ,0.5153892191055660 ,0.0362375075864497 
1.00 ,2.50 ,1.00 ,0.4911287063478120 ,0.0141717321776102 
1.00 ,2.75 ,0.00 ,0.9999994239373080 ,0.0000020229598684 
1.00 ,2.75 ,0.20 ,0.8633447449783870 ,0.0355282219900903 
1.00 ,2.75 ,0.40 ,0.6461065107465810 ,0.0614568976825115 
1.00 ,2.75 ,0.60 ,0.5015540686287090 ,0.0510810850611595 
1.00 ,2.75 ,0.80 ,0.4360116667841980 ,0.0261248030045473 
1.00 ,2.75 ,1.00 ,0.4347823871309480 ,0.0239278778127963 
1.00 ,3.00 ,0.00 ,0.9999994239372930 ,0.0000020229599206 
1.00 ,3.00 ,0.20 ,0.8114469896050060 ,0.0457898849433758 
1.00 ,3.00 ,0.40 ,0.5605603609758920 ,0.0642105591311473 
1.00 ,3.00 ,0.60 ,0.4222746187013750 ,0.0444523378298595 
1.00 ,3.00 ,0.80 ,0.3752385840067180 ,0.0159701150577141 
1.00 ,3.00 ,1.00 ,0.4018055314227630 ,0.0479936339870970 
1.25 ,1.00 ,0.00 ,0.9877704661291250 ,0.0000672519715531 
1.25 ,1.00 ,0.20 ,0.9878826501569400 ,0.0001248247988557 
1.25 ,1.00 ,0.40 ,0.9880906750996110 ,0.0002203723775471 
1.25 ,1.00 ,0.60 ,0.9884365862605950 ,0.0003668864373372 
1.25 ,1.00 ,0.80 ,0.9890116801235550 ,0.0005868603556549 
1.25 ,1.00 ,1.00 ,0.9899355098549010 ,0.0009001439788077 
1.25 ,1.25 ,0.00 ,0.9877704661254420 ,0.0000672519719643 
1.25 ,1.25 ,0.20 ,0.9879218457816270 ,0.0001430526994551 
1.25 ,1.25 ,0.40 ,0.9882425779026420 ,0.0002873898456683 
1.25 ,1.25 ,0.60 ,0.9888327441860170 ,0.0005204064227376 
1.25 ,1.25 ,0.80 ,0.9899355504900010 ,0.0009003818979649 
1.25 ,1.25 ,1.00 ,0.9876546284186180 ,0.0000011307663199 
1.25 ,1.50 ,0.00 ,0.9877704661281500 ,0.0000672519716522 
1.25 ,1.50 ,0.20 ,0.9854087778494090 ,0.0009331468566069 
1.25 ,1.50 ,0.40 ,0.9786281984944520 ,0.0031803359294503 
1.25 ,1.50 ,0.60 ,0.9689082534906580 ,0.0061378456712641 
1.25 ,1.50 ,0.80 ,0.9548934033632950 ,0.0079759727266396 
1.25 ,1.50 ,1.00 ,0.9428127567826340 ,0.0093160981575408 
1.25 ,1.75 ,0.00 ,0.9877704661214510 ,0.0000672519716163 
1.25 ,1.75 ,0.20 ,0.9788968105122740 ,0.0029323997654797 
1.25 ,1.75 ,0.40 ,0.9549044325745380 ,0.0098610250674201 
1.25 ,1.75 ,0.60 ,0.9230353888064980 ,0.0173863986218048 
1.25 ,1.75 ,0.80 ,0.8865638304417820 ,0.0209552764316789 
1.25 ,1.75 ,1.00 ,0.8579253063190400 ,0.0206549549397202 
1.25 ,2.00 ,0.00 ,0.9877704661280830 ,0.0000672519716639 
1.25 ,2.00 ,0.20 ,0.9669062365953990 ,0.0064968858176802 
1.25 ,2.00 ,0.40 ,0.9143949939039440 ,0.0201273426356283 
1.25 ,2.00 ,0.60 ,0.8491663281030260 ,0.0301719767042122 
1.25 ,2.00 ,0.80 ,0.7928087810678890 ,0.0322897510991299 
1.25 ,2.00 ,1.00 ,0.7541905027082960 ,0.0252407989271282 
1.25 ,2.25 ,0.00 ,0.9877704661288240 ,0.0000672519716032 
1.25 ,2.25 ,0.20 ,0.9480721643054390 ,0.0118554710986649 
1.25 ,2.25 ,0.40 ,0.8572073274625440 ,0.0324953579978121 
1.25 ,2.25 ,0.60 ,0.7605691366158430 ,0.0417625424596814 
1.25 ,2.25 ,0.80 ,0.6902647407390460 ,0.0369383651058310 
1.25 ,2.25 ,1.00 ,0.6538131981486580 ,0.0208322619124216 
1.25 ,2.50 ,0.00 ,0.9877704661291790 ,0.0000672519716615 
1.25 ,2.50 ,0.20 ,0.9214005585108360 ,0.0189958002553191 
1.25 ,2.50 ,0.40 ,0.7865729600148090 ,0.0446230599364655 
1.25 ,2.50 ,0.60 ,0.6656880269680220 ,0.0482007572818961 
1.25 ,2.50 ,0.80 ,0.5933581716883850 ,0.0340722565380462 
1.25 ,2.50 ,1.00 ,0.5705122228952840 ,0.0136288076229328 
1.25 ,2.75 ,0.00 ,0.9877704661281860 ,0.0000672519717147 
1.25 ,2.75 ,0.20 ,0.8864970932538490 ,0.0275978870111361 
1.25 ,2.75 ,0.40 ,0.7078061170519220 ,0.0542229336855574 
1.25 ,2.75 ,0.60 ,0.5741112586516300 ,0.0487786479890364 
1.25 ,2.75 ,0.80 ,0.5103395488922990 ,0.0260545299576571 
1.25 ,2.75 ,1.00 ,0.5090717972398330 ,0.0239187506473057 
1.25 ,3.00 ,0.00 ,0.9877704661205230 ,0.0000672519717608 
1.25 ,3.00 ,0.20 ,0.8436755043697530 ,0.0370404336909978 
1.25 ,3.00 ,0.40 ,0.6268305593403930 ,0.0599308043388474 
1.25 ,3.00 ,0.60 ,0.4919722389303770 ,0.0446671151197725 
1.25 ,3.00 ,0.80 ,0.4440981971443530 ,0.0165577916670718 
1.25 ,3.00 ,1.00 ,0.4710152087157640 ,0.0484356542812675 
1.50 ,1.00 ,0.00 ,0.9602621926738020 ,0.0001400026390500 
1.50 ,1.00 ,0.20 ,0.9604957978054360 ,0.0002452245731442 
1.50 ,1.00 ,0.40 ,0.9608756148814240 ,0.0004021872440953 
1.50 ,1.00 ,0.60 ,0.9614983685759440 ,0.0006308039888128 
1.50 ,1.00 ,0.80 ,0.9600003919153720 ,0.0000007264178619 
1.50 ,1.00 ,1.00 ,0.9599998742954350 ,0.0000002344491070 
1.50 ,1.25 ,0.00 ,0.9602621926456750 ,0.0001400026354614 
1.50 ,1.25 ,0.20 ,0.9614845047632730 ,0.0001629804607288 
1.50 ,1.25 ,0.40 ,0.9647283707799360 ,0.0007441716654623 
1.50 ,1.25 ,0.60 ,0.9699629804405460 ,0.0017008736981055 
1.50 ,1.25 ,0.80 ,0.9730156826830400 ,0.0035549958035387 
1.50 ,1.25 ,1.00 ,0.9788474695201160 ,0.0047260222065673 
1.50 ,1.50 ,0.00 ,0.9602621926403900 ,0.0001400026360188 
1.50 ,1.50 ,0.20 ,0.9606568072340870 ,0.0003144181216311 
1.50 ,1.50 ,0.40 ,0.9615103687474060 ,0.0006354212235003 
1.50 ,1.50 ,0.60 ,0.9599999171061980 ,0.0000001447182511 
1.50 ,1.50 ,0.80 ,0.9600003910793170 ,0.0000010734215410 
1.50 ,1.50 ,1.00 ,0.9600022698653490 ,0.0000281852442869 
1.50 ,1.75 ,0.00 ,0.9602621926455620 ,0.0001400026354096 
1.50 ,1.75 ,0.20 ,0.9568536648424650 ,0.0015027645020499 
1.50 ,1.75 ,0.40 ,0.9472382882626360 ,0.0048348698379072 
1.50 ,1.75 ,0.60 ,0.9302166898732830 ,0.0076675982144833 
1.50 ,1.75 ,0.80 ,0.9141335529058140 ,0.0100519134646784 
1.50 ,1.75 ,1.00 ,0.9001485515386170 ,0.0103212956420743 
1.50 ,2.00 ,0.00 ,0.9602621926404200 ,0.0001400026360139 
1.50 ,2.00 ,0.20 ,0.9488146156250760 ,0.0039755889877500 
1.50 ,2.00 ,0.40 ,0.9188340918084190 ,0.0126038735606309 
1.50 ,2.00 ,0.60 ,0.8765766717229420 ,0.0192447690629778 
1.50 ,2.00 ,0.80 ,0.8396342321939770 ,0.0216312191099870 
1.50 ,2.00 ,1.00 ,0.8133722949284120 ,0.0176017542290661 
1.50 ,2.25 ,0.00 ,0.9602621926736870 ,0.0001400026390185 
1.50 ,2.25 ,0.20 ,0.9352874063890730 ,0.0079702103253267 
1.50 ,2.25 ,0.40 ,0.8750763630651780 ,0.0231255991621099 
1.50 ,2.25 ,0.60 ,0.8032910906584400 ,0.0311798115632867 
1.50 ,2.25 ,0.80 ,0.7493359155255250 ,0.0290726947039275 
